127.0.0.1 - - [11/Nov/2022:01:23:04 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/cart HTTP/1.1" 200 9744
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/app/fontawesome-6.2.0/css/fontawesome.css HTTP/1.1" 200 113177
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/app/fontawesome-6.2.0/css/brands.css HTTP/1.1" 200 23682
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/app/fontawesome-6.2.0/css/solid.css HTTP/1.1" 200 625
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/app/css/style.css HTTP/1.1" 200 783
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/app/vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/app/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/app/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
127.0.0.1 - - [11/Nov/2022:01:23:07 +0700] "GET /Shop/app/js/sb-admin-2.min.js HTTP/1.1" 200 1265
127.0.0.1 - - [11/Nov/2022:01:23:08 +0700] "GET /Shop/app/img/undraw_profile_1.svg HTTP/1.1" 200 2163
127.0.0.1 - - [11/Nov/2022:01:23:08 +0700] "GET /Shop/app/img/logo.png HTTP/1.1" 200 5973
127.0.0.1 - - [11/Nov/2022:01:23:08 +0700] "GET /Shop/app/fontawesome-6.2.0/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150472
127.0.0.1 - - [11/Nov/2022:01:23:08 +0700] "GET /favicon.ico HTTP/1.1" 404 762
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/cart HTTP/1.1" 200 9744
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/fontawesome-6.2.0/css/fontawesome.css HTTP/1.1" 200 113177
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/fontawesome-6.2.0/css/brands.css HTTP/1.1" 200 23682
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/fontawesome-6.2.0/css/solid.css HTTP/1.1" 200 625
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/css/style.css HTTP/1.1" 200 783
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/js/sb-admin-2.min.js HTTP/1.1" 200 1265
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/img/logo.png HTTP/1.1" 200 5973
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/img/undraw_profile_1.svg HTTP/1.1" 200 2163
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /Shop/app/fontawesome-6.2.0/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150472
127.0.0.1 - - [11/Nov/2022:01:23:09 +0700] "GET /favicon.ico HTTP/1.1" 404 762
